28 27
1 1.07500000000012e-006 7.50000000000000e-007 0.00000000000000e+000
2 1.07499999999988e-006 7.00000000000000e-007 0.00000000000000e+000
3 1.07209767714707e-006 7.49830958943449e-007 0.00000000000000e+000
4 1.06923460323170e-006 7.49326121764174e-007 0.00000000000000e+000
5 1.06644949641724e-006 7.48492315519129e-007 0.00000000000000e+000
6 1.06378002049549e-006 7.47340816007484e-007 0.00000000000000e+000
7 1.06126227554880e-006 7.45887195284784e-007 0.00000000000000e+000
8 1.05893030975837e-006 7.44151111077615e-007 0.00000000000000e+000
9 1.05681565896107e-006 7.42156040946591e-007 0.00000000000000e+000
10 1.05494692018133e-006 7.39928964792640e-007 0.00000000000000e+000
11 1.05334936490545e-006 7.37500000000105e-007 0.00000000000000e+000
12 1.05204459732815e-006 7.34901994151043e-007 0.00000000000000e+000
13 1.05105026219251e-006 7.32170080817788e-007 0.00000000000000e+000
14 1.05037980617533e-006 7.29341204441686e-007 0.00000000000000e+000
15 1.05004229604399e-006 7.26453620722838e-007 0.00000000000000e+000
16 1.05004229604397e-006 7.23546379277401e-007 0.00000000000000e+000
17 1.05037980617528e-006 7.20658795558550e-007 0.00000000000000e+000
18 1.05105026219244e-006 7.17829919182442e-007 0.00000000000000e+000
19 1.05204459732806e-006 7.15098005849177e-007 0.00000000000000e+000
20 1.05334936490533e-006 7.12500000000103e-007 0.00000000000000e+000
21 1.05494692018115e-006 7.10071035207600e-007 0.00000000000000e+000
22 1.05681565896086e-006 7.07843959053627e-007 0.00000000000000e+000
23 1.05893030975814e-006 7.05848888922577e-007 0.00000000000000e+000
24 1.06126227554855e-006 7.04112804715380e-007 0.00000000000000e+000
25 1.06378002049523e-006 7.02659183992650e-007 0.00000000000000e+000
26 1.06644949641696e-006 7.01507684480973e-007 0.00000000000000e+000
27 1.06923460323141e-006 7.00673878235895e-007 0.00000000000000e+000
28 1.07209767714677e-006 7.00169041056586e-007 0.00000000000000e+000
1 102 1 3 
2 102 3 4 
3 102 4 5 
4 102 5 6 
5 102 6 7 
6 102 7 8 
7 102 8 9 
8 102 9 10 
9 102 10 11 
10 102 11 12 
11 102 12 13 
12 102 13 14 
13 102 14 15 
14 102 15 16 
15 102 16 17 
16 102 17 18 
17 102 18 19 
18 102 19 20 
19 102 20 21 
20 102 21 22 
21 102 22 23 
22 102 23 24 
23 102 24 25 
24 102 25 26 
25 102 26 27 
26 102 27 28 
27 102 28 2 
